Vendor Code,Name of vendor,Street,City
10000,A & D TRADING LANKA PVT LTD.,Mabola Super Market,Wattala
10001,AK2 PRO,25 Siri Parakumba Pirivena Road,Colombo
10002,A P I MACHINERY (PVT) LTD,,Colombo 03
10003,A P I TRADES (PVT) LTD,,Colombo 07
10004,A.C.PAUL & CO. LTD.,No.324-328,Colombo 10
10005,A.DINUSHA WEERASEKARA,,Ranala
10006,A.S.C. ENGINEERING (PVT) LTD.,Delkada,Nugegoda
10007,A.T. COORAY (PVT) LTD,No445A Galle Road,Colombo 03
10008,AB MAURI LANKA (PVT) LTD,,Mount Lavinia
10009,ABANS ELECTIRCALS LTD,,Colombo 06
10010,ABANS ENGINEERING (PVT) LIMITED,,Ratmalana
10011,ACCESS INTERNATIONAL (PVT) LTD,Union Place,Colombo 02
10012,AITKEN SPENCE PRINTING & PACKAGING,316 K Cyril C Perera Mawatha,Colombo 13
10013,ACL CABLES PLC,No21 Noriss Canal Road,Colombo 10
10014,ACME PACKAGING SOLUTIONS (PVT) LTD,,Gonawila
10015,ACME PRINTING & PACKAGING PLC,318 Gonamadiththa Road,Piliyandala
10016,ADPLAST (PVT) LTD,,Colombo
10017,ADVANCED MICRO TECHNOLOGY (PVT) LTD,,Narahenpita
10018,AIRLINE TRADERS,NO496 Sri Sangaraja Mawatha,Colombo 10
10019,AJANEE TRADING COMPANY (PVT) LTD,#71 Union Place,Colombo 02
10020,ALI BROTHERS (PVT) LTD,,Colombo 14
10021,ALLI COMPANY (PVT) LTD,,Pasyala
10022,ALLIED TRADING INTERNATIONAL,301 Old Moor Street,Colombo 12
10023,ALPHA INDUSTRIES PVT LTD,49/16 Iceland Building,Colombo 03
10024,SIERRA CABLES PLC,,Kaduwela
10025,AMALGAMATED BUILDING SYSTEMS LANKA,,Kaduwela
10026,AMARASIRI FERTILIZERS STORES,,Homagama
10027,AMERICAN WATER SYSTEMS (PVT) LTD,Artigala,Hanwella
10028,AMSLER LIMITED,,Colombo 03
10029,AMSONS,,Wellawatta
10030,ANALYTICAL INSTRUMENTS (PVT) LTD.,528 Galle Road,colombo
10031,ANGANA LANKA (PVT) LTD,,Kadawatha
10032,ARIYARATNE TRADE CENTRE (PVT) LTD,,Colombo 12
10033,ARPICO INTERIORS (PVT) LTD.,,Colombo 02
10034,ASIA TRACTOR LANKA (PVT) LTD,Karagapokuna,Wattala
10035,ASIAN EDIBLE HOLDINGS,Rawathawatte,Moratuwa
10036,ASIAN PAINTS LANKA LTD.,,Moratuwa
10037,ATLAS MACHINE COMPONENTS (PVT) LTD,Old Police Station Rd,Dompe
